Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff,Fight_ID,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,F1_media_votes,F2_media_votes,media_votes_draw,media_votes_count,media_votes_correct
2009-09-16,a8ea84cbe1655f0a,3,Gray Maynard,Roger Huerta,1,1,0,23,79,43,100,3,7,194,2009-09-16 00:00:00,0,0,40,166,62,192,0,0,60,0,-17,-87,-19,-92,3,7,134,1303,Chris Lee,28-29,Cecil Peoples,30-27,Glenn Trowbridge,30-27,5,0,0,5,True
2009-09-16,a8ea84cbe1655f0a,3,Carlos Condit,Jake Ellenberger,1,1,0,27,70,168,222,1,2,238,2009-09-16 00:00:00,0,2,28,59,55,93,3,4,406,-2,-1,11,113,129,-2,-2,-168,1302,Sal D'Amato,29-28,Chris Lee,29-28,Cecil Peoples,28-29,1,2,2,5,True
2009-09-19,896c322f56b8be5a,3,Eliot Marshall,Jason Brilz,1,1,0,29,117,53,141,0,0,24,2009-09-19 00:00:00,0,0,27,105,64,145,0,16,220,0,2,12,-11,-4,0,-16,-196,1311,Kent Basinger,30-27,Chris Lee,27-30,Cecil Peoples,30-27,1,2,0,3,True
2009-10-24,7c0847d3854a95f2,3,Kyle Kingsbury,Razak Al-Hassan,1,1,0,25,98,76,149,2,6,329,2009-10-24 00:00:00,0,0,31,79,45,93,1,4,228,0,-6,19,31,56,1,2,101,1323,Nelson Hamilton,29-28,Cecil Peoples,29-28,Susan Thomas-Gitlin,28-29,2,0,0,2,True
2009-11-21,84a067c46306a737,3,Forrest Griffin,Tito Ortiz,1,1,0,70,206,91,231,0,1,71,2009-11-21 00:00:00,0,0,24,75,56,109,3,9,249,0,46,131,35,122,-3,-8,-178,601,Abe Belardo,30-27,Hector Hernandez,28-29,Cecil Peoples,29-27,1,0,1,2,True
2009-11-21,84a067c46306a737,3,Forrest Griffin,Tito Ortiz,1,1,0,70,206,91,231,0,1,71,2009-11-21 00:00:00,0,0,24,75,56,109,3,9,249,0,46,131,35,122,-3,-8,-178,1359,Lester Griffin,30-27,Marcos Rosales,29-28,Glenn Trowbridge,28-29,4,1,0,5,True
2009-12-05,91d73ee59347ac16,3,Jon Madsen,Justin Wren,1,1,0,26,100,26,100,0,1,0,2009-12-05 00:00:00,0,0,17,159,17,159,0,1,16,0,9,-59,9,-59,0,0,-16,1363,Adalaide Byrd,30-27,Sal D'Amato,28-29,Glenn Trowbridge,29-28,1,1,0,2,True
2010-01-11,58bc81376286b3d3,3,Aaron Simpson,Tom Lawlor,1,1,0,36,108,74,149,2,6,268,2010-01-11 00:00:00,0,0,52,128,60,136,1,6,157,0,-16,-20,14,13,1,0,111,1393,Jeff Blatnick,28-29,Eric Colon,29-28,Sal D'Amato,29-28,3,1,0,4,True
2010-01-11,58bc81376286b3d3,3,Jesse Lennox,Rick Story,0,1,0,22,128,24,130,1,2,63,2010-01-11 00:00:00,1,0,47,172,67,192,2,3,263,0,25,44,43,62,1,1,200,1401,Jeff Blatnick,30-27,Eric Colon,28-29,Cardo Urso,30-27,0,2,0,2,True
2010-01-11,58bc81376286b3d3,3,Jesse Forbes,Nick Catone,0,1,0,32,160,40,168,0,1,68,2010-01-11 00:00:00,1,0,32,103,65,140,2,9,98,0,0,-57,25,-28,2,8,30,1396,Douglas Crosby,29-28,Sal D'Amato,29-28,Clark Walters,28-29,0,2,0,2,True
2010-01-11,58bc81376286b3d3,3,Gray Maynard,Nate Diaz,1,1,0,41,142,53,154,0,0,11,2010-01-11 00:00:00,0,0,70,251,77,259,0,3,0,0,-29,-109,-24,-105,0,-3,11,1395,Douglas Crosby,30-27,Sal D'Amato,28-29,Cardo Urso,29-28,1,2,2,5,True
2010-04-10,24b033b3daf1c9df,3,Nick Osipczak,Rick Story,0,1,0,28,41,49,63,2,4,147,2010-04-10 00:00:00,1,0,31,72,83,130,3,10,595,0,3,31,34,67,1,6,448,1462,Sal D'Amato,29-28,Howard Hughes,29-28,Andy Roberts,28-29,1,0,0,1,True
2010-05-08,d0c29452d3272603,3,Jeremy Stephens,Sam Stout,1,1,1,55,119,64,128,3,5,72,2010-05-08 00:00:00,0,1,70,181,76,187,0,1,48,0,-15,-62,-12,-59,3,4,24,1494,Pasquale Procopio,30-27,David Therien,29-28,Tony Weeks,28-29,3,1,0,4,True
2010-05-29,bfc2fc38a0e20211,3,Jason Brilz,Rogerio Nogueira,0,1,0,18,50,41,80,3,13,297,2010-05-29 00:00:00,1,0,23,67,42,90,1,1,173,0,5,17,1,10,-2,-12,-124,1504,Patricia Morse Jarman,28-29,Marcos Rosales,29-28,Tony Weeks,29-28,3,2,1,6,True
2010-06-12,cfb65863d5099327,3,Evan Dunham,Tyson Griffin,1,1,0,28,73,52,107,3,6,535,2010-06-12 00:00:00,0,0,26,70,62,117,0,2,18,0,2,3,-10,-10,3,4,517,1514,Chris Franco,30-27,Lance Gibson,29-28,Tony Weeks,28-29,6,0,0,6,True
2010-07-03,140745cbbcb023ac,3,Goran Reljic,Kendall Grove,0,1,0,14,56,27,73,3,5,404,2010-07-03 00:00:00,1,0,28,89,83,146,1,1,27,0,14,33,56,73,-2,-4,-377,1540,Patricia Morse Jarman,28-29,Cecil Peoples,29-28,Roy Silbert,30-27,1,2,0,3,True
2010-07-03,140745cbbcb023ac,3,Daniel Roberts,Forrest Petz,1,1,0,5,44,45,93,6,9,433,2010-07-03 00:00:00,0,0,21,69,47,97,1,1,56,0,-16,-25,-2,-4,5,8,377,1539,Patricia Morse Jarman,28-29,Roy Silbert,29-28,Tony Weeks,29-28,3,0,0,3,True
2010-08-01,f12f979b657ab876,3,Mark Munoz,Yushin Okami,0,1,1,16,44,19,48,1,15,88,2010-08-01 00:00:00,1,1,22,83,101,162,1,1,302,0,6,39,82,114,0,-14,214,1549,Luis Cobian,29-28,Lester Griffin,29-28,Cecil Peoples,28-29,0,5,0,5,True
