Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Marlon Moraes,Raphael Assuncao,8130,0,Fabio Alves,28-29,Guilherme Bravo,29-28,Phillipe Iorio,30-27
Darrell Horcher,Devin Powell,8221,1,Gerald Ritter,29-28,Marcos Rosales,28-29,Cardo Urso,29-28
Amanda Nunes,Valentina Shevchenko,8400,1,Sal D'Amato,48-47,David Therien,48-47,Tony Weeks,47-48
Drakkar Klose,Marc Diakiese,8262,1,Derek Cleary,28-29,Jeff Mullen,29-28,Marcos Rosales,29-28
Anthony Rocco Martin,Olivier Aubin-Mercier,8413,0,Eric Colón,28-29,Greg Monskie,29-28,Jeff Mullen,29-28
Eric Shelton,Jarred Brooks,8326,0,Guilherme Bravo,28-29,Brandon Saucedo,29-28,Wade Vierra,29-28
Chan-Mi Jeon,Syuri Kondo,8421,0,Ben Cartlidge,30-27,Anthony Dimitriou,30-27,Evan Field,28-29
Alex Morono,Keita Nakamura,8424,0,Ben Cartlidge,29-28,Barry Foley,28-29,Charlie Keech,29-28
Alexa Grasso,Randa Markos,8338,1,Marcos Rosales,29-28,Roy Silbert,29-28,Dave Tirelli,28-29
Alejandro Perez,Andre Soukhamthath,8340,1,Miguel Jimenez,28-29,Jeff Mullen,29-28,Roy Silbert,29-28
Rashad Evans,Sam Alvey,8339,0,Derek Cleary,29-28,Eric Colón,29-28,Jeff Mullen,28-29
Cody Stamann,Tom Duquesnoy,8461,1,Chris Lee,28-29,Marcos Rosales,30-27,Rick Winter,29-28
Deiveson Figueiredo,Jarred Brooks,8519,1,Guilherme Bravo,27-30,Phillipe Iorio,29-28,Dave Tirelli,29-28
John Dodson,Marlon Moraes,8567,0,Brian Costello,30-27,Chris Lee,30-27,Ron Rodriguez,27-30
Damien Brown,Frank Camacho,8585,0,Chris Aliendi,29-28,Evan Field,30-27,Kevin Manderson,28-29
Cezar Ferreira,Nate Marquardt,8570,1,Brian Costello,29-28,Chris Lee,28-29,Jeff Mullen,29-28
Belal Muhammad,Tim Means,8592,1,Evan Field,29-28,Charlie Keech,28-29,Kevin Manderson,29-28
Bojan Velickovic,Jake Matthews,8590,0,Anthony Dimitriou,29-28,Storm Oshyer,29-28,Kon Papaioannou,28-29
Bec Rawlings,Jessica-Rose Clark,8593,0,Evan Field,28-29,Charlie Keech,29-28,Storm Oshyer,29-28
Alex Caceres,Wang Guan,8612,0,Kon Papaioannou,28-29,Christopher Shen,29-28,Paul Sutherland,29-28
Barb Honchak,Lauren Murphy,8643,0,Derek Cleary,29-28,Junichiro Kamijo,29-28,Jeff Mullen,28-29
Jessica Eye,Kalindra Faria,8732,1,Sal D'Amato,29-28,Rob Francis,28-29,Brian Puccillo,29-28
Cortney Casey,Felice Herrig,8650,0,Sal D'Amato,29-28,Bryan Miner,29-28,Roy Silbert,28-29
Alexis Davis,Liz Carmouche,8670,1,Derek Cleary,29-28,Ron McCarthy,29-28,Jason McCoy,28-29
Frankie Saenz,Merab Dvalishvili,8669,1,Derek Cleary,28-29,Ron McCarthy,29-28,Marcos Rosales,29-28
Francimar Barroso,Gian Villante,8756,0,David Ginsberg,30-27,Mike Mena,30-27,Dave Tirelli,28-29
