,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
123,Benson Henderson,Frankie Edgar,1,0,Dave Hagen,Mark Van Tine,Tony Weeks,48-47,48-47,46-49,1,1,0,3,0,0,0,1
124,Demetrious Johnson,Joseph Benavidez,1,1,Richard Bertrand,Jeff Blatnick,Douglas Crosby,47-48,48-47,49-46,0,1,1,3,1,0,1,1
125,Brad Tavares,Tom Watson,1,1,Douglas Crosby,Howard Hughes,Chris Watts,28-29,30-27,29-28,0,1,1,4,1,0,1,1
126,Akira Corassani,Andy Ogle,1,0,Aaron Chatfield,Mark Collett,Chris Watts,29-28,27-30,29-28,1,0,1,5,0,0,1,0
127,Carlo Prater,Marcus Levesseur,0,1,Sal D'Amato,Andy Kemp,Chris Lee,29-28,29-28,28-29,1,1,0,2,0,0,0,1
128,Cristiano Marcello,Reza Madadi,1,0,Romulo Bittencourt,Aaron Chatfield,Cardo Urso,29-28,30-27,28-29,1,1,0,3,0,0,0,1
129,Alex Caceres,Motonobu Tezuka,1,1,Aaron Chatfield,Mark Collett,Bass Singh,30-27,30-27,28-29,1,1,0,5,1,1,1,0
130,Mac Danzig,Takanori Gomi,0,0,Aaron Chatfield,Mark Collett,Chris Watts,28-29,29-28,29-28,0,1,1,3,1,0,1,1
131,Antonio Carvalho,Rodrigo Damm,1,1,Cardo Urso,Tony Weeks,John Woodburn,28-29,29-28,29-28,0,1,1,3,1,0,1,1
132,Francis Carmont,Tom Lawlor,1,0,Sal D'Amato,Cardo Urso,Tony Weeks,28-29,29-28,29-28,0,1,1,5,0,1,0,0
133,Brad Pickett,Eddie Wineland,0,0,Mark Smith,Glenn Trowbridge,Tony Weeks,28-29,30-27,30-27,0,1,1,0,1,0,1,1
134,Leonard Garcia,Max Holloway,0,1,Cecil Peoples,Marcos Rosales,Mark Smith,29-28,29-28,28-29,1,1,0,0,0,0,0,1
135,Jamie Varner,Melvin Guillard,1,1,Adalaide Byrd,Cecil Peoples,Mark Smith,27-30,30-27,30-27,0,1,1,4,1,0,1,1
136,Cb Dollaway,Daniel Sarafian,1,1,Mark Collett,Howard Hughes,Chris Lee,29-28,28-29,29-28,1,0,1,3,1,1,0,1
137,Godofredo Pepey,Milton Vieira,1,0,Mark Collett,Sal D'Amato,Howard Hughes,29-28,29-28,28-29,1,1,0,5,0,0,0,1
138,Clay Guida,Hatsu Hioki,1,0,Sal D'Amato,Gabriel Sabaitis,Rick Winter,29-28,30-27,28-29,1,1,0,4,0,0,0,1
139,Isaac Vallie-Flagg,Yves Edwards,1,1,Junichiro Kamijo,Patricia Morse Jarman,Mark Smith,28-29,29-28,29-28,0,1,1,3,1,0,1,1
140,Evan Dunham,Gleison Tibau,1,1,Jeff Collins,Sal D'Amato,Junichiro Kamijo,28-29,29-28,29-28,0,1,1,3,1,0,1,1
141,Caros Fodor,Sam Stout,0,0,Mike Beltran,Derek Cleary,Cecil Peoples,29-28,28-29,29-28,1,0,1,1,1,1,0,1
142,Dennis Bermudez,Matt Grice,1,0,Michael Bell,Mike Beltran,Wade Vierra,29-28,29-28,28-29,1,1,0,0,0,0,0,1
143,Dan Henderson,Lyoto Machida,0,0,Michael Bell,Derek Cleary,Cecil Peoples,29-28,29-28,28-29,1,1,0,4,1,1,1,0
144,Bryan Caraway,Takeya Mizugaki,0,0,Ben Cartlidge,Junichiro Kamijo,Chris Watts,28-29,29-28,29-28,0,1,1,1,1,0,1,1
145,Diego Sanchez,Takanori Gomi,1,0,Ben Cartlidge,Barry Foley,Chris Watts,28-29,29-28,29-28,0,1,1,3,0,1,0,0
146,Hector Lombard,Yushin Okami,0,0,Barry Foley,Junichiro Kamijo,Charlie Keech,29-28,29-28,28-29,1,1,0,2,1,1,1,0
147,Chris Camozzi,Nick Ring,1,1,Richard Bertrand,Sal D'Amato,Benoit Roussel,29-28,29-28,28-29,1,1,0,3,1,1,1,0
148,Brad Pickett,Mike Easton,1,1,Mark Collett,Howard Hughes,Andreas Ramsby,30-27,30-27,28-29,1,1,0,3,1,1,1,0
149,Besam Yousef,Papy Abedi,0,1,Jim Bergman,Howard Hughes,Andreas Ramsby,29-28,29-28,28-29,1,1,0,2,0,0,0,1
150,Kelvin Gastelum,Uriah Hall,1,1,Adalaide Byrd,Sal D'Amato,Junichiro Kamijo,29-28,28-29,29-28,1,0,1,4,1,1,0,1
151,Benson Henderson,Gilbert Melendez,1,1,Michael Bell,Derek Cleary,Wade Vierra,48-47,48-47,47-48,1,1,0,3,1,1,1,0
152,Dennis Bermudez,Max Holloway,1,0,Lester Griffin,Mark Smith,Tony Weeks,29-28,29-28,28-29,1,1,0,3,0,0,0,1
153,Mike Pyle,Rick Story,1,0,Dave Hagen,Junichiro Kamijo,Chris Lee,29-28,29-28,28-29,1,1,0,5,0,0,0,1
154,Mizuto Hirota,Rodrigo Damm,0,0,Mark Collett,Glenn Trowbridge,Dean Weir,28-29,29-28,29-28,0,1,1,3,1,0,1,1
155,Dustin Pague,Yves Jabouin,0,1,Dr. Greg Jackson,Jason Rodgers,Sal Signorino,28-29,29-28,29-28,0,1,1,4,0,1,0,0
156,Jake Shields,Tyron Woodley,1,1,Richard Bertrand,Sal D'Amato,Chris Lee,29-28,29-28,27-30,1,1,0,3,1,1,1,0
157,Dan Henderson,Rashad Evans,0,0,Sal D'Amato,Dr. Greg Jackson,Chris Lee,29-28,28-29,29-28,1,0,1,4,1,1,0,1
158,Andrew Craig,Chris Leben,1,1,Junichiro Kamijo,Marcos Rosales,Mark Smith,29-28,30-27,28-29,1,1,0,5,1,1,1,0
159,Ed Herman,Trevor Smith,1,1,Sal D'Amato,Lester Griffin,Chris Lee,27-30,29-28,30-27,0,1,1,3,1,0,1,1
160,Aaron Riley,Justin Salas,0,0,Sal D'Amato,Chris Lee,Lamont Nelson,29-28,29-28,28-29,1,1,0,3,1,1,1,0
161,Germaine De Randamie,Julie Kedzie,1,1,Terry Boehlke,Lester Griffin,Lamont Nelson,30-27,28-29,29-28,1,0,1,5,1,1,0,1
162,Daron Cruickshank,Yves Edwards,1,0,Terry Boehlke,Lester Griffin,Glenn Hamada,27-30,30-27,30-27,0,1,1,3,0,1,0,0
163,John Howard,Uriah Hall,1,1,Douglas Crosby,Steve Rita,Ryan Shea,29-28,28-29,30-27,1,0,1,4,1,1,0,1
164,Court Mcgee,Robert Whittaker,1,1,Kelvin Caldwell,Sal D'Amato,Robert Madrigal,27-30,30-27,29-28,0,1,1,3,1,0,1,1
165,Erik Perez,Takeya Mizugaki,0,0,Kelvin Caldwell,David Hinkel,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,1,1,1,1,0
166,Gleison Tibau,Jamie Varner,1,1,Sal D'Amato,Brian Puccillo,Otto Torriero,29-28,29-28,27-29,1,1,0,4,1,1,1,0
167,Sean Spencer,Yuri Villefort,1,1,Guilherme Bravo,Ben Cartlidge,Howard Hughes,30-27,29-28,28-29,1,1,0,0,1,1,1,0
168,Kevin Souza,Felipe Arantes,1,1,Howard Hughes,Roy Silbert,Glenn Trowbridge,28-29,29-28,29-28,0,1,1,5,1,0,1,1
169,Alex Caceres,Roland Delorme,1,1,Brian Beauchamp,Graham Bettes,Benoit Roussel,28-29,29-28,29-28,0,1,1,5,1,0,1,1
